standard_id	audit_status	evidence_path	evidence_digest	audited_at	claim_ceiling_impact
active-setup-to-idle-orchestration-thread-bound-heartbeat	pass	validator/src/audit/mandatory/law/surfaces.rs	sha256:d15624d154c45b6da45b0e8aedca1f90df270e21c9fa513ecf96bfe7f7798744	2026-06-27T06:55:16Z	completion, review, package, readiness, release
adversarial-packet-tampering-forged-proof-rejection	pass	validator/src/audit/mandatory/law/surfaces.rs	sha256:d15624d154c45b6da45b0e8aedca1f90df270e21c9fa513ecf96bfe7f7798744	2026-06-27T06:55:16Z	completion, review, package, readiness, release
agent-authored-source-tooling-docs-provenance	pass	validator/src/audit/mandatory/law/surfaces.rs	sha256:d15624d154c45b6da45b0e8aedca1f90df270e21c9fa513ecf96bfe7f7798744	2026-06-27T06:55:16Z	completion, review, package, readiness, release
agent-queryable-observability	pass	validator/src/audit/mandatory/law/surfaces.rs	sha256:d15624d154c45b6da45b0e8aedca1f90df270e21c9fa513ecf96bfe7f7798744	2026-06-27T06:55:16Z	completion, review, package, readiness, release
agent-remediating-validator-failures	pass	validator/src/audit/mandatory/law/surfaces.rs	sha256:d15624d154c45b6da45b0e8aedca1f90df270e21c9fa513ecf96bfe7f7798744	2026-06-27T06:55:16Z	completion, review, package, readiness, release
agent-session-telemetry-token-rate-limit	pass	validator/src/audit/mandatory/law/surfaces.rs	sha256:d15624d154c45b6da45b0e8aedca1f90df270e21c9fa513ecf96bfe7f7798744	2026-06-27T06:55:16Z	completion, review, package, readiness, release
architecture-dependency-topology	pass	validator/src/audit/mandatory/law/surfaces.rs	sha256:d15624d154c45b6da45b0e8aedca1f90df270e21c9fa513ecf96bfe7f7798744	2026-06-27T06:55:16Z	completion, review, package, readiness, release
authority-exhaustiveness-closed-enums-impossible-state-elimination	pass	validator/src/audit/mandatory/law/surfaces.rs	sha256:d15624d154c45b6da45b0e8aedca1f90df270e21c9fa513ecf96bfe7f7798744	2026-06-27T06:55:16Z	completion, review, package, readiness, release
authority-source-binding	pass	scripts/check-agent-standards	sha256:8c3993ba47f50f70e62116a486158eeb353c269800b589948c75cb73d6a960ff	2026-06-27T06:55:16Z	install, runtime, product, review
autonomy-loop-proof	pass	validator/src/audit/mandatory/law/surfaces.rs	sha256:d15624d154c45b6da45b0e8aedca1f90df270e21c9fa513ecf96bfe7f7798744	2026-06-27T06:55:16Z	completion, review, package, readiness, release
batch-fanout-custom-agent-job-worker-result-discipline	pass	validator/src/audit/mandatory/law/surfaces.rs	sha256:d15624d154c45b6da45b0e8aedca1f90df270e21c9fa513ecf96bfe7f7798744	2026-06-27T06:55:16Z	completion, review, package, readiness, release
behavior-example-coverage-coverage-anti-gaming	pass	validator/src/audit/mandatory/law/surfaces.rs	sha256:d15624d154c45b6da45b0e8aedca1f90df270e21c9fa513ecf96bfe7f7798744	2026-06-27T06:55:16Z	completion, review, package, readiness, release
capability-gap-extraction-harness-capability-promotion	pass	validator/src/audit/mandatory/law/surfaces.rs	sha256:d15624d154c45b6da45b0e8aedca1f90df270e21c9fa513ecf96bfe7f7798744	2026-06-27T06:55:16Z	completion, review, package, readiness, release
clean-checkout-command-discovery	pass	validator/src/audit/mandatory/law/surfaces.rs	sha256:d15624d154c45b6da45b0e8aedca1f90df270e21c9fa513ecf96bfe7f7798744	2026-06-27T06:55:16Z	completion, review, package, readiness, release
clean-room-rebuild-author-memory-independence	pass	validator/src/audit/mandatory/law/surfaces.rs	sha256:d15624d154c45b6da45b0e8aedca1f90df270e21c9fa513ecf96bfe7f7798744	2026-06-27T06:55:16Z	completion, review, package, readiness, release
cli-control-plane-authority	pass	validator/src/audit/cli/control_plane/authority.rs	sha256:77cd57361476c56310ce628c867566f30aa94e87e31ba904ab45d9f97801fba0	2026-06-27T09:39:00Z	completion, review, package, readiness, release, app-registry, reviewer-exposure, update_goal
cli-performance-latency-speed-iteration-fitness	pass	validator/src/audit/cli/performance.rs	sha256:893e8fdb290f5222ca87601430048fb42aedda858295f928ad07f5dbf9a23a57	2026-06-27T06:55:16Z	completion, routine usability, product readiness, package, readiness, release, update_goal
cli-self-law-compliance	pass	validator/src/audit/cli/control_plane/authority.rs	sha256:77cd57361476c56310ce628c867566f30aa94e87e31ba904ab45d9f97801fba0	2026-06-27T09:39:00Z	completion, review, package, readiness, release, app-registry, reviewer-exposure, update_goal
compact-agents-routed-standards	pass	validator/src/audit/mandatory/law/surfaces.rs	sha256:d15624d154c45b6da45b0e8aedca1f90df270e21c9fa513ecf96bfe7f7798744	2026-06-27T06:55:16Z	completion, review, package, readiness, release
conditional-observability-proof	pass	validator/src/audit/mandatory/law/surfaces.rs	sha256:d15624d154c45b6da45b0e8aedca1f90df270e21c9fa513ecf96bfe7f7798744	2026-06-27T06:55:16Z	completion, review, package, readiness, release
config-precedence-defaults-env-indirection	pass	validator/src/audit/mandatory/law/surfaces.rs	sha256:d15624d154c45b6da45b0e8aedca1f90df270e21c9fa513ecf96bfe7f7798744	2026-06-27T06:55:16Z	completion, review, package, readiness, release
connector-capability-discovery	pass	validator/src/audit/mandatory/law/surfaces.rs	sha256:d15624d154c45b6da45b0e8aedca1f90df270e21c9fa513ecf96bfe7f7798744	2026-06-27T06:55:16Z	completion, review, package, readiness, release
coverage-proof-accountability	pass	scripts/check	sha256:ae98b0bd8565d0fc35c2ffc2cecf7005ede228f48c5419124abbb6b9faf61af6	2026-06-27T06:55:16Z	completion, coverage, release, production-readiness
coverage-scope-authority	pass	scripts/check-coverage-full	sha256:6a4c758869798850b60b5dd22f9c2cbbb7f32dbac11cc016bb54a65c0cd266b1	2026-06-27T06:55:16Z	completion, readiness, release, material-signoff, coverage
cross-artifact-consistency-solver-authority-graph-closure	pass	validator/src/audit/mandatory/law/surfaces.rs	sha256:d15624d154c45b6da45b0e8aedca1f90df270e21c9fa513ecf96bfe7f7798744	2026-06-27T06:55:16Z	completion, review, package, readiness, release
current-product-discovery-audit-quality-in-use-evidence	pass	validator/src/audit/mandatory/law/surfaces.rs	sha256:d15624d154c45b6da45b0e8aedca1f90df270e21c9fa513ecf96bfe7f7798744	2026-06-27T06:55:16Z	completion, review, package, readiness, release
